Code,Region,Low_SES_Percent,Internet_NoAccess,Housing_Unsuitable,Unemployment_Rate,Education_Level_Low,English_Proficiency_Low,Aboriginal_Percent,Senior_65Plus_Percent,Elderly_70_PermInstitution,Year
PHA020059,Ivanhoe East - Eaglemont,0.0,7.674858223,1.813373630525123,5.12,57.2,8.400746733,0.11085109003571869,18.07540660423854,2.957486136783734,2017-2018
PHA020060,Kingsbury,100.0,11.87633915,9.529309846953508,13.09,41.9,18.08867362,0.6268282490597576,10.805830122298543,13.571428571428571,2017-2018
PHA020061,Preston,0.0,17.49658936,7.410811262427938,7.48,37.4,20.60212987,1.0452450160016442,12.604967995771919,2.3518631643249845,2017-2018
PHA020062,Reservoir - East,0.0,23.27852516,8.83388862446454,8.99,28.2,20.60813633,1.4813511611541168,16.83766690091356,10.597609561752988,2017-2018
PHA020063,Reservoir - West,0.0,22.27033353,7.598204264870932,7.85,27.5,19.96848464,0.871425176265547,17.525202609211306,5.11200459506031,2017-2018
PHA020064,Eltham,0.0,6.004772004,1.4108649789029535,4.51,39.6,8.749466496,0.4540153282239254,13.544319652624107,4.3076923076923075,2017-2018
PHA020065,Hurstbridge/ Panton Hill/ Research,0.0,6.366267053,2.4778030146603345,4.22,33.9,3.604806409,0.3994756881592909,12.878316104122556,0.0,2017-2018
PHA020066,Kinglake,0.0,11.14575214,3.215686274509804,5.11,15.1,9.81595092,1.6566265060240966,10.350877192982457,0.0,2017-2018
PHA020067,Plenty - Yarrambat/ Wattle Glen - Diamond Creek,0.0,6.617339104,1.8997797356828192,4.38,28.2,8.285385501,0.439014288672603,11.664125911581722,12.832550860719873,2017-2018
PHA020068,Bundoora - North,0.0,9.97196636,5.312868949232586,9.07,35.4,15.71194763,0.4900113079532605,10.415075120957473,0.0,2017-2018
PHA020069,Bundoora - West,0.0,20.01795332,5.276705276705277,9.25,25.2,19.97296384,1.130731102850062,19.745608721986674,0.0,2017-2018
PHA020070,Epping,48.12178822,11.77646306,7.085228106205076,7.81,22.9,14.6900769,0.8916023499596821,8.476392403620363,13.397312859884835,2017-2018
PHA020071,Lalor/ Thomastown,0.0,25.90224496,10.3576652040952,10.07,15.6,23.40507302,0.8355563394254725,18.173655972845722,0.608424336973479,2017-2018
PHA020072,Mill Park - North,100.0,10.50115105,4.325699745547073,6.47,21.4,14.42844168,0.7107738349722104,11.360852197070573,12.133333333333333,2017-2018
PHA020073,Mill Park - South,100.0,11.13157895,5.556952476741262,7.69,21.6,15.32729104,0.997924317419767,11.545549234836953,0.0,2017-2018
PHA020074,South Morang,19.53227985,7.454823244,2.703522158775077,5.64,22.7,10.99951303,1.1400981231991278,7.178098395355715,10.347903657448706,2017-2018
PHA020075,Wallan/ Whittlesea,100.0,12.76147875,3.480810914190998,5.16,13.4,10.2358888,1.6399952348806737,11.467633928571429,6.969846762234305,2017-2018
PHA020076,Airport West/ Essendon Airport/ Keilor East,100.0,19.56084479,3.413720058660583,5.7,25.2,16.81267616,0.3144297773497252,22.393865929976883,7.680101555061886,2017-2018
PHA020077,Keilor,0.0,16.59269375,2.485089463220676,5.34,21.6,11.22359155,0.3891915934615812,21.807134015978395,0.0,2017-2018
PHA020078,Niddrie - Essendon West,0.0,15.27113238,2.790880503144654,4.19,32.9,11.92722372,0.38620689655172413,15.022172949002217,0.0,2017-2018
PHA020079,Strathmore,0.0,10.81514763,2.488038277511962,4.67,38.2,9.20671685,0.4614767255216694,14.765032844871149,0.0,2017-2018
PHA020080,Gisborne/ Macedon/ Riddells Creek,0.0,8.376406202,1.46481425551193,4.5,28.3,10.23206751,0.6425205844557613,14.8640311328366,4.872495446265939,2017-2018
PHA020081,Romsey,0.0,12.29877656,3.094098883572568,4.38,17.2,8.439897698,1.1590603332298457,14.63591228796028,0.0,2017-2018
PHA020082,Coburg North,100.0,17.00298954,6.181818181818182,6.79,38.0,21.7242559,0.7889546351084813,15.083384805435454,10.990206746463548,2017-2018
PHA020083,Fawkner,0.0,25.70224719,12.295805739514348,10.72,26.4,18.49704279,0.3457814661134163,16.9666162934469,9.226804123711341,2017-2018
PHA020084,Glenroy - Hadfield,0.0,20.35640204,8.894490457328052,8.36,26.4,15.28221151,0.5762162835607052,16.16568120607993,10.572139303482588,2017-2018
PHA020085,Pascoe Vale,0.0,16.92931634,5.4227012462108455,6.34,35.2,13.76518219,0.6363526521406421,13.945840607364705,6.909361069836553,2017-2018
PHA020086,Sunbury/ Sunbury - South,67.71251461,11.23779715,2.830120568911992,6.21,17.3,9.906487434,1.204672075065976,12.826394650788227,4.860557768924303,2017-2018
PHA020087,Broadmeadows,0.0,24.15210689,16.554702495201536,15.9,15.0,23.17977231,1.394078758263869,11.34978023536084,4.013377926421405,2017-2018
PHA020088,Campbellfield - Coolaroo,0.0,23.19576252,17.612123694450133,14.73,10.7,24.54412837,0.8235019273449363,14.52589500911175,2.738283307003686,2017-2018
PHA020089,Craigieburn - Mickleham,21.44346014,9.416010499,8.707393182909264,8.54,21.5,14.72276047,0.8857883338658714,5.446414310812969,3.9595248570171577,2017-2018
PHA020090,Gladstone Park - Westmeadows/ Tullamarine,73.15107196,16.35486528,4.601890875953981,7.12,15.6,13.79265434,0.5269250728513831,17.06416921306401,3.372243839169909,2017-2018
PHA020091,Greenvale - Bulla/ Melbourne Airport,0.0,8.238330824,3.578774167009461,5.39,21.1,10.11090307,0.5023964889992493,9.338054714718146,2.0590868397493285,2017-2018
PHA020092,Meadow Heights,0.0,15.54600607,16.431593794076164,14.26,10.8,24.05934833,0.7985296913619367,8.544976854747905,5.8886509635974305,2017-2018
